simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
[GGH2002] EIS J033227.28-280212.8,53.11362861713,-28.036880076460005,280,266,0,ok
[MBR2003] CDFS-H 1389,53.25910233294,-27.71909329591,258,226,0,ok
2MASS J03311909-2738467,52.82944558762001,-27.64621482065,268,247,0,ok
2MASS J03312376-2741465,52.8490262948,-27.6962768893,266,248,0,ok
[GGH2002] EIS J033153.58-275847.5,52.97325666699,-27.979842117830003,251,238,0,ok
2MASS J03320819-2750135,53.03420402983,-27.837189376,279,258,0,ok
2MASS J03315646-2740462,52.98514537368,-27.67945852164,244,222,0,ok
[GGH2002] EIS J033340.16-274034.5,53.41734715019,-27.67624510936,267,258,0,ok
2MASS J03312034-2735323,52.83471642706,-27.592304428260004,281,262,0,ok
2MASS J03325466-2750084,53.22776533714,-27.83568820024,255,236,0,ok
2MASS J03331606-2739029,53.31697356079,-27.650814195250003,266,247,0,ok
[GGH2002] EIS J033147.87-280015.4,52.94949278058001,-28.004250332850003,271,258,0,ok
[GGH2002] EIS J033201.84-275936.2,53.00765598067,-27.99337746157,280,264,0,ok
[TBV2008] 16,53.38552021949,-27.6456417501,271,252,0,ok
[GGH2002] EIS J033153.94-280319.9,52.97474123911,-28.05549459884,280,266,0,ok
2MASS J03312364-2758502,52.84841018076,-27.98060045607,268,247,0,ok
2MASS J03333205-2735427,53.38359423274999,-27.59515986557,279,265,0,ok
[MBR2003] CDFS-H 1327,53.26565970744001,-27.6881952028,266,252,0,ok
[GGH2002] EIS J033325.31-280355.3,53.35544164574999,-28.06531937171,266,252,0,ok
[GGH2002] EIS J033158.79-280328.5,52.99494732313,-28.05790077738,268,255,0,ok
2MASS J03334135-2738306,53.42245790433,-27.64174097765,274,261,0,ok
[MBR2003] CDFS-H 2498,53.286044188210006,-27.756920837500004,258,249,0,ok
[MBR2003] CDFS-H 4345,53.04817551718,-28.01149699976,260,244,0,ok
[GGH2002] EIS J033134.86-275813.1,52.895268215890006,-27.97033304511,264,249,0,ok
[MBR2003] CDFS-H 4742,53.34161584485,-27.98011904178,272,259,0,ok
[GGH2002] EIS J033205.30-280157.3,53.02208190635,-28.03255530229,254,242,0,ok
[GGH2002] EIS J033113.95-280328.7,52.80815375528,-28.05798349531,259,242,0,ok
