simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
2MASS J03330296-2744494,53.26231935002,-27.74707839969,0.0228,0.0374,90,O,2020yCat.1350....0G,17.860000610351562,18.8700008392334,,,,,,,,,,,,,,,,,,,,,,,,,,2.4664,3.792,-27.354,*,ECDFS,True
[MBR2003] CDFS-H 1389,53.25910233294,-27.719093295909996,0.1343,0.2277,90,O,2020yCat.1350....0G,19.850000381469727,20.1200008392334,19.832000732421875,,,,,,,,,,,,,,,,,,,,,,,,,0.1763,1.807,-3.004,*,ECDFS,True
2MASS J03331899-2741450,53.32917053767,-27.695879317249993,0.0263,0.042,90,O,2020yCat.1350....0G,17.020000457763672,17.549999237060547,16.510000228881836,,,,,,,,,,,,,,,,,,,,,,,,,0.8208,2.638,2.74,*,ECDFS,True
2MASS J03331165-2737538,53.29855965084,-27.631637982670004,0.0471,0.0758,90,O,2020yCat.1350....0G,18.8799991607666,19.860000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,1.0855,18.343,-5.914,*,ECDFS,True
2MASS J03311454-2750292,52.81058371512,-27.84146031965,0.0354,0.0639,90,O,2020yCat.1350....0G,18.450000762939453,19.520000457763672,,,,,,,,,,,,,,,,,,,,,,,,,,1.759,-12.039,-15.051,*,ECDFS,True
2MASS J03312103-2749102,52.83759576349,-27.819515709390004,0.0217,0.0383,90,O,2020yCat.1350....0G,17.260000228881836,18.190000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,2.2928,22.956,18.441,*,ECDFS,True
2MASS J03311859-2747237,52.82747991401,-27.790045316640004,0.038,0.0681,90,O,2020yCat.1350....0G,17.809999465942383,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.4003,0.079,-1.152,*,ECDFS,True
[WDK2001] 38393,52.92076672772,-27.760754387080002,0.0791,0.1346,90,O,2020yCat.1350....0G,19.149999618530273,19.6299991607666,18.940000534057617,,,,,,,,,,,,,,,,,,,,,,,,,0.1569,11.098,-18.604,*,ECDFS,True
VCDFS  33544,52.98341855224,-27.704872444420005,0.0741,0.1283,90,O,2020yCat.1350....0G,19.68000030517578,20.68000030517578,,17.82900047302246,,,,,,,,,,,,,,,,,,,,,,,,1.2777,-1.071,-6.624,*,ECDFS,True
GOODS J033201.16-274129.0,53.00479894208,-27.691472165360004,0.0401,0.0684,90,O,2020yCat.1350....0G,18.969999313354492,20.059999465942383,18.1200008392334,,,,,,,,,,,,,,,,,,,,,,,,,2.9103,38.86,3.698,*,ECDFS,True
[MBR2003] CDFS-H  202,52.99345262055,-27.597007610530003,0.0596,0.0995,90,O,2020yCat.1350....0G,18.420000076293945,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,8.934,-1.541,*,ECDFS,True
[GGH2002] EIS J033116.46-273839.5,52.81855059224001,-27.64432752441,0.0882,0.1454,90,O,2020yCat.1350....0G,19.420000076293945,20.229999542236328,,,,,,,,,,,,,,,,,,,,,,,,,,0.5382,6.122,3.135,*,ECDFS,True
2MASS J03311754-2734312,52.82303573823,-27.575183370570006,0.0847,0.1301,90,O,2020yCat.1350....0G,19.729999542236328,20.790000915527344,,,,,,,,,,,,,,,,,,,,,,,,,,1.0169,13.974,7.014,*,ECDFS,True
[GGH2002] EIS J033123.64-273434.8,52.84848302391,-27.576349550500005,0.0323,0.05,90,O,2020yCat.1350....0G,18.0,18.979999542236328,,,,,,,,,,,,,,,,,,,,,,,,,,1.3246,9.887,-6.261,*,ECDFS,True
2MASS J03322643-2733453,53.110178524530006,-27.56264478459,0.029,0.0495,90,O,2020yCat.1350....0G,17.510000228881836,18.209999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,0.7135,2.48,-2.088,*,ECDFS,True
2MASS J03315417-2801149,52.97574996517,-28.020774774229995,0.0716,0.1255,90,O,2020yCat.1350....0G,19.3799991607666,20.3799991607666,,,,,,,,,,,,,,,,,,,,,,,,,,1.1496,7.744,3.349,*,ECDFS,True
2MASS J03315442-2801308,52.976749999999996,-28.025222222222222,310.0,300.0,16,I,2003yCat.2246....0C,18.010000228881836,18.510000228881836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ECDFS,True
GNS 5893,53.04279613344,-27.71869272574,0.0225,0.0385,90,O,2020yCat.1350....0G,17.214000701904297,19.243999481201172,16.775999069213867,,,,,,,,,,,,,,,,,,,,,,,,,0.9086,1.174,14.935,*,ECDFS,True
2MASS J03311212-2756599,52.80056427243001,-27.95000165814,0.0321,0.0569,90,O,2020yCat.1350....0G,17.81999969482422,18.459999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,0.7078,12.801,-6.373,*,ECDFS,True
EIS-DEEP CDFS-4 J 1 2125,53.18570756682,-27.850342544499995,0.0504,0.0853,90,O,2020yCat.1350....0G,18.489999771118164,19.29640007019043,18.35099983215332,18.382200241088867,,,,,,,,,,,,,,,,,,,,,,,,0.2542,1.001,-0.17,*,ECDFS,True
2MASS J03322235-2749256,53.09308917900999,-27.82386079493,0.0408,0.0733,90,O,2020yCat.1350....0G,18.280000686645508,19.3799991607666,,17.299999237060547,,,,,,,,,,,,,,,,,,,,,,,,0.7458,-0.798,-0.586,*,ECDFS,True
EIS-DEEP CDFS-2 Ks 1 2175,53.15834933556,-27.79499395998,0.0931,0.166,90,O,2020yCat.1350....0G,19.841999053955078,20.75629997253418,19.040000915527344,18.861299514770508,,,,,,,,,,,,,,,,,,,,,,,,0.378,8.831,0.978,*,ECDFS,True
2MASS J03322363-2746567,53.098465925839996,-27.782468775560005,0.0526,0.094,90,O,2020yCat.1350....0G,18.59000015258789,19.417800903320312,18.0,18.2052001953125,,,,,,,,,,,,,,,,,,,,,,,,0.6225,3.058,4.492,*,ECDFS,True
2MASS J03321784-2746277,53.07437241981,-27.77449767604,0.0535,0.096,90,O,2020yCat.1350....0G,18.549999237060547,19.280000686645508,18.040000915527344,18.079999923706055,,,,,,,,,,,,,,,,,,,,,,,,0.1657,1.29,3.252,*,ECDFS,True
[GGH2002] EIS J033243.83-274605.6,53.18257977999,-27.76822663708,0.0366,0.0626,90,O,2020yCat.1350....0G,17.950000762939453,18.489999771118164,17.709999084472656,,,,,,,,,,,,,,,,,,,,,,,,,0.4656,2.709,-6.424,*,ECDFS,True
2MASS J03320626-2745426,53.02604603951001,-27.76189579819,0.0325,0.0567,90,O,2020yCat.1350....0G,17.902999877929688,18.4862003326416,17.520999908447266,17.68440055847168,,,,,,,,,,,,,,,,,,,,,,,,0.1211,8.026,-7.425,*,ECDFS,True
[PBM2009] s104673,53.13108193846999,-27.743140322440002,0.0703,0.1258,90,O,2020yCat.1350....0G,19.280000686645508,20.986600875854492,18.5,18.375699996948242,M0.0,,,,,,,,,,,,,,,,,,,,,,,0.7162,-1.078,2.431,*,ECDFS,True
2MASS J03323318-2742216,53.1383236471,-27.70600659592,0.0303,0.0545,90,O,2020yCat.1350....0G,17.972999572753906,19.275999069213867,18.753999710083008,17.289899826049805,,,,,,,,,,,,,,,,,,,,,,,,1.3582,20.823,10.617,*,ECDFS,True
GOODS J033230.49-274142.7,53.12704559966,-27.69526574396,0.0882,0.164,90,O,2020yCat.1350....0G,19.27899932861328,19.75,19.197999954223633,,,,,,,,,,,,,,,,,,,,,,,,,0.0951,7.106,2.553,*,ECDFS,True
GOODS-MUSIC 17818,53.13810721532,-27.677597431879995,0.0908,0.162,90,O,2020yCat.1350....0G,19.545000076293945,21.312999725341797,,18.270000457763672,,,,,,,,,,,,,,,,,,,,,,,,0.6176,-1.801,2.699,*,ECDFS,True
2MASS J03323770-2740297,53.15708939628,-27.674936856890003,0.0313,0.0541,90,O,2020yCat.1350....0G,18.01799964904785,18.635099411010742,17.43199920654297,17.640300750732422,,,,,,,,,,,,,,,,,,,,,,,,0.4625,17.464,-13.286,*,ECDFS,True
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,0.0536,0.0869,90,O,2020yCat.1350....0G,19.440000534057617,20.489999771118164,18.649999618530273,,,,,,,,,,,,,,,,,,,,,,,,,1.9786,24.232,-23.267,*,ECDFS,True
[MBR2003] CDFS-H 1327,53.26565970744001,-27.688195202799996,0.1392,0.2313,90,O,2020yCat.1350....0G,19.979999542236328,20.450000762939453,,,,,,,,,,,,,,,,,,,,,,,,,,0.0103,3.205,-2.302,*,ECDFS,True
2MASS J03320023-2739053,53.00105332218,-27.65151184179,0.0475,0.0826,90,O,2020yCat.1350....0G,18.59000015258789,19.360000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,0.7035,5.407,3.212,*,ECDFS,True
[TBV2008] 16,53.38552021949,-27.6456417501,0.0979,0.158,90,O,2020yCat.1350....0G,19.950000762939453,20.770000457763672,19.149999618530273,,,,,,,,,,,,,,,,,,,,,,,,,0.5051,3.427,-4.901,*,ECDFS,True
2MASS J03315826-2736334,52.99276431439999,-27.60931486411,0.0485,0.0858,90,O,2020yCat.1350....0G,18.360000610351562,19.489999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,3.7095,4.661,3.834,*,ECDFS,True
2MASS J03314363-2743497,52.93182088116999,-27.73050430423,0.0461,0.0763,90,O,2020yCat.1350....0G,19.06999969482422,20.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,1.8389,9.215,-1.607,*,ECDFS,True
2MASS J03313603-2735342,52.900094554519995,-27.59288722805,0.0511,0.0832,90,O,2020yCat.1350....0G,19.059999465942383,20.149999618530273,,,,,,,,,,,,,,,,,,,,,,,,,,1.7286,-4.82,-8.222,*,ECDFS,True
2MASS J03320608-2736306,53.02537629823,-27.608525932339997,0.0286,0.0472,90,O,2020yCat.1350....0G,17.290000915527344,17.8700008392334,,,,,,,,,,,,,,,,,,,,,,,,,,0.7673,23.642,-6.08,*,ECDFS,True
2MASS J03312034-2735323,52.83471642706,-27.592304428260004,0.0796,0.1253,90,O,2020yCat.1350....0G,19.899999618530273,21.059999465942383,,,,,,,,,,,,,,,,,,,,,,,,,,1.9162,10.32,9.35,*,ECDFS,True
2MASS J03323656-2801300,53.15238710489,-28.024946257619998,0.037,0.0592,90,O,2020yCat.1350....0G,17.8799991607666,18.489999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,0.5325,8.172,1.205,*,ECDFS,True
2MASS J03322421-2733041,53.10089160391999,-27.55116768241,0.0286,0.0473,90,O,2020yCat.1350....0G,17.479999542236328,18.239999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,1.0629,5.043,2.173,*,ECDFS,True
2MASS J03311681-2749007,52.82004331565,-27.81689651322,0.0374,0.0676,90,O,2020yCat.1350....0G,18.239999771118164,19.170000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,0.9675,17.756,2.537,*,ECDFS,True
2MASS J03321934-2735154,53.08060616675001,-27.58766372174,0.0295,0.0502,90,O,2020yCat.1350....0G,17.6200008392334,18.43000030517578,,,,,,,,,,,,,,,,,,,,,,,,,,1.1541,8.894,-15.993,*,ECDFS,True
2MASS J03321344-2756517,53.05601512258,-27.94771008359,0.0284,0.049,90,O,2020yCat.1350....0G,17.309999465942383,17.770000457763672,,,,,,,,,,,,,,,,,,,,,,,,,,0.4818,3.841,0.414,*,ECDFS,True
2MASS J03315289-2802315,52.97051143174001,-28.04214143639,0.0327,0.0565,90,O,2020yCat.1350....0G,17.639999389648438,18.170000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,0.6376,2.993,0.058,*,ECDFS,True
2MASS J03333662-2759089,53.40258945645,-27.98583393149,0.057,0.09,90,O,2020yCat.1350....0G,18.56999969482422,19.209999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,0.5687,10.277,-19.932,*,ECDFS,True
2MASS J03315706-2757540,52.98774262540001,-27.96499355074,0.0232,0.0387,90,O,2020yCat.1350....0G,17.219999313354492,17.950000762939453,,,,,,,,,,,,,,,,,,,,,,,,,,1.2617,2.695,14.179,*,ECDFS,True
2MASS J03334016-2748307,53.41733152201,-27.80857183425,0.0708,0.1164,90,O,2020yCat.1350....0G,19.59000015258789,20.610000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,0.6744,9.052,3.735,*,ECDFS,True
2MASS J03332154-2733414,53.33974287293,-27.5615356428,0.0489,0.0814,90,O,2020yCat.1350....0G,18.139999389648438,18.579999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,0.3157,6.206,0.32,*,ECDFS,True
2MASS J03312376-2741465,52.8490262948,-27.696276889299998,0.0755,0.1286,90,O,2020yCat.1350....0G,19.860000610351562,20.950000762939453,,,,,,,,,,,,,,,,,,,,,,,,,,1.6781,3.656,-5.51,*,ECDFS,True
2MASS J03324567-2802098,53.19033424769,-28.036076840479996,0.0298,0.0469,90,O,2020yCat.1350....0G,17.860000610351562,18.81999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,1.5778,4.323,9.517,*,ECDFS,True
2MASS J03314424-2733491,52.93432595721999,-27.56363887525,0.0299,0.0473,90,O,2020yCat.1350....0G,18.170000076293945,19.280000686645508,,,,,,,,,,,,,,,,,,,,,,,,,,3.5354,13.91,12.967,*,ECDFS,True
2MASS J03323625-2733265,53.15107148078,-27.557393612619997,0.023,0.0388,90,O,2020yCat.1350....0G,17.15999984741211,18.040000915527344,,,,,,,,,,,,,,,,,,,,,,,,,,1.5379,23.469,0.051,*,ECDFS,True
2MASS J03333407-2757244,53.39189276007999,-27.956771560730004,0.0479,0.0765,90,O,2020yCat.1350....0G,18.239999771118164,18.770000457763672,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,6.814,-7.951,*,ECDFS,True
2MASS J03321963-2802570,53.08181952461,-28.04918575334,0.0492,0.0824,90,O,2020yCat.1350....0G,18.899999618530273,19.940000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,1.7939,17.81,23.513,*,ECDFS,True
2MASS J03331235-2736424,53.30123117031,-27.611884918220003,0.069,0.1121,90,O,2020yCat.1350....0G,19.59000015258789,20.6299991607666,,,,,,,,,,,,,,,,,,,,,,,,,,0.9565,7.573,-0.396,*,ECDFS,True
2MASS J03332245-2743518,53.34363443556,-27.73109181372,0.0458,0.0779,90,O,2020yCat.1350....0G,18.610000610351562,19.389999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,0.8154,13.022,13.019,*,ECDFS,True
2MASS J03331399-2800117,53.30833924764,-28.00330941467,0.0379,0.0603,90,O,2020yCat.1350....0G,18.15999984741211,18.959999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,0.9578,7.324,6.568,*,ECDFS,True
2MASS J03323077-2739447,53.12827786413,-27.66242948989,0.0591,0.103,90,O,2020yCat.1350....0G,19.290000915527344,20.260000228881836,,,,,,,,,,,,,,,,,,,,,,,,,,0.6209,-0.642,-4.152,*,ECDFS,True
2MASS J03323161-2742082,53.13180701531,-27.702295156550004,0.0295,0.0511,90,O,2020yCat.1350....0G,17.656999588012695,18.780000686645508,,16.8799991607666,,,,,,,,,,,,,,,,,,,,,,,,0.6178,8.191,-4.792,*,ECDFS,True
2MASS J03321089-2753297,53.04530061734,-27.89163220907,0.043,0.0761,90,O,2020yCat.1350....0G,18.25,18.809999465942383,,,,,,,,,,,,,,,,,,,,,,,,,,0.2786,6.85,-13.098,*,ECDFS,True
[MBR2003] CDFS-H  194,52.98820276417,-27.610766457060002,0.0653,0.1092,90,O,2020yCat.1350....0G,18.68000030517578,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1822,4.7,-5.093,*,ECDFS,True
[GGH2002] EIS J033155.14-280137.4,52.979749999999996,-28.027055555555553,,,,O,2002A&A...392..741G,19.770000457763672,20.239999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ECDFS,True
